Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
J.J. Anderson,157,4.8,2.8,0.7,46.5,0.0,55.8,46.5,12.1,2.7
J.J. Barea,813,9.0,2.1,3.9,42.4,35.2,79.3,48.5,14.5,23.5
J.J. Hickson,534,9.5,6.8,0.8,50.5,0.0,61.7,50.5,16.1,21.9
J.J. O'Brien,2,0.0,0.5,0.0,0.0,-,-,0.0,1.3,0.0
J.J. Redick,872,13.0,2.1,2.0,44.8,41.6,89.1,55.5,15.0,61.6
J.P. Macura,2,3.0,1.5,1.0,33.3,0.0,-,33.3,5.7,0.0
J.R. Bremer,100,6.5,1.8,2.2,34.4,33.3,74.8,44.1,11.2,2.5
J.R. Giddens,38,1.9,1.4,0.3,47.6,0.0,56.5,47.6,9.7,0.1
J.R. Henderson,30,3.2,1.6,0.7,36.5,40.0,55.6,37.5,9.0,-0.2
J.R. Reid,672,8.5,5.0,1.0,47.2,13.5,71.6,47.2,11.9,22.5
J.R. Smith,971,12.5,3.2,2.1,41.9,37.3,73.2,51.1,14.0,46.4
Ja Morant,32,17.8,3.2,6.6,48.5,39.7,79.7,51.8,18.1,1.5
JaJuan Johnson,36,3.2,1.6,0.2,44.6,-,66.7,44.6,11.4,0.2
JaKarr Sampson,185,5.4,2.7,0.8,45.7,25.4,65.9,49.1,10.1,2.3
JaMychal Green,328,8.3,6.2,0.9,47.3,37.0,77.3,52.6,13.9,15.7
JaVale McGee,670,8.0,5.1,0.4,57.2,13.3,59.1,57.3,19.6,34.7
Jabari Bird,13,3.0,1.5,0.6,57.7,42.9,46.2,63.5,12.1,0.2
Jabari Brown,19,11.9,1.9,2.1,41.2,37.1,75.3,47.9,11.0,0.4
Jabari Parker,279,15.1,5.8,2.1,49.2,32.4,73.8,52.1,16.3,13.0
Jabari Smith,108,3.0,1.6,0.6,41.3,12.5,69.0,41.4,9.7,1.3
Jack Burmaster,61,9.8,-,2.9,33.3,null,68.1,null,-,-0.4
Jack Coleman,633,10.6,9.2,2.8,41.6,null,69.5,null,15.7,47.7
Jack Cooley,23,2.9,2.4,0.3,44.9,-,57.5,44.9,15.6,0.5
Jack Cotton,54,5.1,-,1.2,29.2,null,50.9,null,-,-1.5
Jack Dwan,60,4.6,-,2.2,31.8,null,49.3,null,-,1.2
Jack Eskridge,23,2.8,-,0.6,36.2,null,70.0,null,-,0.6
Jack Foley,11,4.8,1.5,0.5,39.2,null,86.7,null,15.6,0.1
Jack Garfinkel,92,5.2,-,1.5,27.5,null,70.5,null,-,0.9
Jack George,506,10.2,4.2,4.3,36.4,null,70.4,null,12.2,17.7
Jack Gillespie,2,1.0,3.5,0.0,0.0,-,100.0,0.0,0.8,-0.1
Jack Givens,156,6.7,2.9,0.9,40.1,0.0,79.1,40.1,12.3,4.3
Jack Haley,341,3.5,2.7,0.2,42.5,0.0,65.5,42.5,9.7,2.9
Jack Hewson,24,2.7,-,0.0,24.7,null,70.0,null,-,0.1
Jack Kerris,271,7.6,6.3,2.5,36.3,null,66.2,null,14.6,17.8
Jack Kiley,53,2.3,1.0,1.2,22.7,null,57.1,null,3.4,-1.8
Jack Maddox,1,0.0,-,1.0,-,null,-,null,-,0.0
Jack Marin,849,14.8,5.2,2.1,46.5,null,84.3,null,15.2,59.3
Jack McCloskey,1,6.0,3.0,1.0,33.3,null,-,null,7.8,0.0
Jack McMahon,524,8.1,2.7,3.7,33.7,null,63.7,null,9.5,6.2
Jack Molinas,32,11.6,7.1,1.6,39.0,null,75.9,null,19.2,3.6
Jack Nichols,505,10.4,6.9,1.9,36.8,null,75.2,null,11.8,24.8
Jack Parkinson,4,0.8,-,0.5,8.3,null,100.0,null,-,-0.2
Jack Parr,66,4.0,4.2,0.8,35.5,null,60.3,null,7.9,-0.3
Jack Phelan,55,4.1,-,1.0,32.5,null,57.8,null,-,-0.5
Jack Rocker,9,1.9,-,0.3,36.4,null,100.0,null,-,0.2
Jack Sikma,1107,15.6,9.8,3.2,46.4,32.8,84.9,47.1,17.3,112.5
Jack Smiley,118,6.2,-,2.5,25.6,null,67.9,null,-,0.6
Jack Stephens,72,10.3,5.2,2.9,38.6,null,69.2,null,13.3,4.8
Jack Thompson,2,1.0,0.5,1.0,33.3,0.0,-,33.3,5.0,0.0
