Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Mahmoud Abdul-Rauf,586,14.6,1.9,3.5,44.2,35.4,90.5,47.2,15.4,25.2
Mark Acres,375,3.6,4.1,0.5,50.6,53.8,66.5,50.9,9.0,9.3
Michael Adams,653,14.7,2.9,6.4,41.5,33.2,84.9,47.5,16.6,46.9
Maurice Ager,82,2.1,0.6,0.2,33.9,25.0,56.6,36.8,2.8,-0.9
Mark Aguirre,923,20.0,5.0,3.1,48.4,31.2,74.1,49.8,19.0,67.8
Matthew Aitch,45,5.6,3.6,0.4,40.5,0.0,67.5,40.5,11.9,0.5
Mark Alarie,325,7.5,3.4,1.1,47.5,25.2,77.5,48.3,13.0,8.4
Malik Allen,478,4.9,2.8,0.5,43.9,18.8,77.8,44.0,9.9,6.6
Morris Almond,38,3.1,1.2,0.3,38.1,29.2,74.3,41.2,7.0,0.0
Michael Anderson,36,5.7,2.5,4.3,41.7,14.3,69.5,42.0,10.5,0.2
Martynas Andriuškevičius,6,0.0,0.7,0.0,0.0,-,-,0.0,15.5,0.0
Michael Ansley,149,6.9,4.2,0.4,51.3,-,72.2,51.3,17.0,6.4
Miloš Babić,21,1.8,1.0,0.5,37.5,-,65.0,37.5,10.9,-0.1
Marvin Bagley III,118,14.5,7.5,1.0,50.0,31.4,66.3,52.6,17.6,5.3
Mark Baker,1,0.0,0.0,0.0,0.0,-,-,0.0,-46.6,-0.1
Maurice Baker,5,0.0,0.4,0.2,0.0,-,-,0.0,-0.2,0.0
Mo Bamba,155,6.4,5.2,0.7,47.1,32.5,64.6,52.9,17.2,5.9
Marcus Banks,348,5.9,1.5,2.1,43.2,32.7,76.8,46.9,12.2,6.6
Mike Bantom,706,12.1,6.4,2.3,46.8,20.0,69.2,46.8,14.3,34.8
Marvin Barnes,315,16.0,9.1,2.1,48.1,21.4,69.1,48.1,18.1,20.6
Matt Barnes,929,8.2,4.6,1.8,43.6,33.5,74.5,51.3,12.7,42.8
Mike Barr,307,5.9,2.1,2.8,47.9,33.3,75.3,48.2,9.6,6.9
Moe Barr,31,2.0,0.6,0.9,40.3,null,84.6,null,11.9,0.1
Mike Barrett,187,13.4,3.2,3.9,44.0,31.0,74.6,46.1,12.4,7.4
Maceo Baston,105,2.7,1.7,0.2,61.6,37.5,74.0,62.5,14.4,2.3
Mengke Bateer,46,3.4,2.5,0.6,39.1,33.3,74.4,40.7,6.4,-0.1
Mike Batiste,75,6.4,3.4,0.7,42.2,22.2,78.4,44.1,12.2,0.8
Malik Beasley,257,9.9,2.3,1.2,44.6,39.1,81.6,54.8,13.3,7.6
Michael Beasley,609,12.4,4.7,1.3,46.5,34.9,75.9,48.7,15.6,15.6
Moe Becker,43,3.8,-,0.7,19.6,null,50.0,null,-,-2.4
Marco Belinelli,860,9.7,2.1,1.7,42.4,37.6,84.6,51.1,12.2,30.5
Mario Bennett,68,4.0,2.7,0.4,53.4,33.3,51.1,53.6,18.2,1.9
Mel Bennett,204,6.9,4.7,1.0,38.2,0.0,60.9,38.2,10.8,0.9
Mike Bibby,1001,14.7,3.1,5.5,43.6,37.9,80.2,49.7,16.1,73.2
