Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Don Ackerman,28,1.5,0.5,0.8,22.2,null,53.6,null,1.0,-0.6
Don Adams,523,8.8,5.6,1.9,40.2,0.0,74.1,40.2,10.7,11.7
Deng Adel,19,1.7,1.0,0.3,30.6,26.1,100.0,38.9,2.7,-0.2
Danny Ainge,1042,11.5,2.7,4.0,46.9,37.8,84.6,51.9,14.7,71.5
DeVaughn Akoon-Purcell,7,1.0,0.6,0.9,30.0,0.0,50.0,30.0,8.2,0.0
Darrell Allums,22,2.7,3.0,1.1,34.3,0.0,59.1,34.3,5.3,-0.3
Derrick Alston,139,5.4,3.8,0.7,48.9,14.3,48.7,49.0,11.7,2.6
David Andersen,103,4.9,2.8,0.6,44.0,34.7,67.4,47.8,11.7,1.5
Dan Anderson,140,12.2,9.4,1.1,48.1,-,72.7,48.1,17.5,10.9
Dan Anderson,95,3.7,1.0,1.7,47.2,null,84.6,null,12.3,1.6
Derek Anderson,615,12.0,3.2,3.4,40.8,34.1,85.3,46.3,15.3,43.9
Dwight Anderson,5,4.2,0.4,0.6,50.0,-,70.0,50.0,10.6,0.0
Don Anielak,1,3.0,2.0,0.0,0.0,null,75.0,null,1.8,-0.1
Darrell Armstrong,840,9.2,2.7,4.0,40.9,33.4,87.1,48.0,16.3,49.8
Darrell Arthur,503,6.5,3.5,0.8,44.4,35.2,76.5,47.0,12.2,12.3
Don Asmonga,7,0.7,0.1,0.7,13.3,null,100.0,null,-7.6,-0.3
Dick Atha,43,3.2,1.5,1.2,39.3,null,79.5,null,10.5,0.6
D.J. Augustin,921,9.7,1.9,4.0,41.1,37.9,86.7,49.6,14.1,46.9
Deni Avdija,54,6.3,4.9,1.2,41.7,31.5,64.4,50.2,7.6,1.2
Dennis Awtrey,733,4.8,4.6,2.0,45.9,-,65.2,45.9,10.5,22.4
Deandre Ayton,178,16.0,10.6,1.7,58.8,18.9,75.6,58.9,20.3,17.4
Dwayne Bacon,207,7.3,2.6,1.1,40.2,31.4,78.0,44.7,8.9,0.8
Dalibor Bagarić,95,2.6,2.5,0.4,36.1,0.0,55.9,36.1,7.0,-0.9
Desmond Bane,68,9.2,3.1,1.7,46.9,43.2,81.6,58.6,12.2,2.9
Don Barksdale,262,11.0,8.0,2.1,37.0,null,66.0,null,15.5,9.1
Dick Barnett,971,15.8,2.9,2.8,45.6,null,76.1,null,14.7,68.7
Dana Barros,850,10.5,1.9,3.3,46.0,41.1,85.8,53.6,16.4,49.6
Drew Barry,60,2.2,1.1,1.9,41.7,38.1,77.4,53.4,9.8,0.6
Dave Batton,58,3.2,2.1,0.6,44.8,0.0,47.1,44.8,10.2,0.7
Darius Bazley,116,9.4,5.5,1.2,39.5,30.9,70.0,46.1,9.7,0.0
Dennis Bell,63,2.8,1.9,0.4,37.4,null,53.5,null,10.7,0.1
DeAndre' Bembry,240,6.1,3.3,1.9,45.9,26.8,61.2,49.4,10.2,2.2
Dragan Bender,187,5.4,3.9,1.3,39.9,32.3,65.4,49.7,7.6,0.5
David Benoit,492,7.0,4.0,0.6,43.8,31.9,79.5,47.2,12.0,16.9
Dairis Bertāns,12,2.8,0.8,0.8,25.5,29.4,-,36.2,2.0,-0.2
Dāvis Bertāns,331,8.6,2.8,1.1,43.3,40.7,85.5,59.1,13.4,15.9
Del Beshore,69,3.5,0.9,2.0,35.2,38.5,66.7,37.2,6.4,-0.9
Don Bielke,7,2.0,1.3,0.1,55.6,null,57.1,null,12.2,0.2
Dave Bing,901,20.3,3.8,6.0,44.1,null,77.5,null,17.6,68.8
DeJuan Blair,424,6.8,5.1,0.8,52.4,0.0,60.8,52.4,16.5,19.0
Doug Bolstorff,3,1.3,0.0,0.0,40.0,null,-,null,2.2,0.0
Dexter Boney,8,2.4,0.8,0.0,31.6,16.7,75.0,34.2,10.2,0.0
Devin Booker,409,23.0,3.7,4.6,45.5,35.2,87.0,51.0,17.4,22.3
Don Boven,195,9.0,4.2,2.0,33.9,null,70.6,null,12.0,7.4
Donnie Boyce,30,2.6,0.8,0.5,34.9,25.0,50.0,38.4,9.3,-0.3
Dennis Boyd,5,1.2,0.4,1.4,25.0,null,-,null,-4.0,-0.2
Dudley Bradley,600,5.2,1.8,1.9,44.0,29.3,73.0,45.8,12.0,16.5
Dave Britton,2,2.0,1.0,1.5,66.7,-,-,66.7,18.0,0.0
Dillon Brooks,240,14.0,3.0,1.9,42.0,35.3,79.0,48.4,10.8,3.7
Damone Brown,39,2.8,1.3,0.5,33.6,28.6,66.7,35.2,3.9,-0.7
Darrell Brown,3,1.3,-,0.0,33.3,null,0.0,null,-,0.0
Dee Brown,608,11.1,2.6,3.7,43.6,35.7,82.5,48.8,14.6,33.4
Dee Brown,68,2.1,1.0,1.8,34.0,25.0,64.3,38.4,7.9,0.1
Derrick Brown,171,5.2,2.4,0.7,51.5,31.7,63.7,52.5,13.8,4.5
Devin Brown,465,7.2,2.8,1.5,40.1,33.8,77.6,45.2,11.9,13.3
Dave Budd,353,7.1,4.6,1.0,46.0,null,68.2,null,12.7,11.7
Dick Bunt,26,3.5,1.1,0.7,27.6,null,70.8,null,6.6,-0.3
David Burns,9,2.6,0.6,1.7,43.8,-,60.0,43.8,3.6,-0.1
Deonte Burton,71,2.6,1.2,0.4,36.7,22.5,61.5,41.1,5.4,-0.4
Don Buse,966,7.1,2.7,4.6,44.0,33.0,77.9,46.5,13.1,57.1
David Bustion,47,3.4,2.1,0.4,43.6,-,71.2,43.6,7.8,0.7
Donnie Butcher,279,6.1,2.9,2.1,39.7,null,62.9,null,10.3,4.5
Dwight Buycks,49,6.3,1.6,1.7,40.2,37.0,88.3,44.9,11.7,0.3
Derrick Byars,2,5.0,5.5,0.5,27.3,0.0,100.0,27.3,14.9,0.1
Devontae Cacok,21,2.1,1.8,0.1,57.1,-,45.5,57.1,18.2,0.3
Demetrius Calip,7,1.6,0.7,1.7,22.2,20.0,66.7,25.0,1.8,-0.2
Dexter Cambridge,53,7.0,3.2,1.1,48.4,0.0,68.7,48.4,12.1,0.4
Devin Cannady,8,4.3,0.6,0.1,39.3,37.5,85.7,50.0,11.2,0.1
Derrick Caracter,41,2.0,1.0,0.2,48.5,-,73.9,48.5,10.0,0.3
Don Carlos,56,11.2,5.0,2.8,41.0,0.0,75.6,41.0,11.9,2.7
Don Carlson,180,8.0,1.7,1.8,33.0,null,62.3,null,-,11.3
Darel Carrier,350,20.0,3.4,2.6,41.7,37.7,85.1,45.1,15.6,30.5
DeMarre Carroll,578,8.9,4.2,1.3,43.0,35.8,74.1,50.8,13.3,29.5
Duane Causwell,541,4.9,4.2,0.4,50.7,28.6,61.8,50.8,11.7,15.8
Don Chaney,790,8.4,4.0,2.2,43.6,20.0,77.6,43.7,11.6,36.3
Derrick Chievous,154,7.1,2.4,0.7,44.3,24.2,75.5,44.8,11.8,2.7
Doug Christie,827,11.2,4.1,3.6,42.6,35.4,82.1,47.9,14.6,55.7
Dionte Christmas,31,2.3,1.2,0.3,35.5,29.0,75.0,42.7,11.1,0.3
Derrick Coleman,781,16.5,9.3,2.5,44.7,29.5,76.9,46.2,18.0,64.3
Don Collins,303,9.8,2.8,1.8,48.5,6.9,74.9,48.5,14.5,10.5
Doug Collins,415,17.9,3.2,3.3,50.1,0.0,83.3,50.1,16.1,38.0
Darren Collison,708,12.5,2.7,5.0,47.1,39.4,85.3,51.7,16.2,49.9
Dallas Comegys,142,6.0,3.2,0.7,45.7,0.0,68.2,45.7,10.7,1.1
Daequan Cook,328,6.4,2.1,0.7,36.9,35.9,81.3,47.6,9.1,4.9
Darwin Cook,612,9.5,2.1,3.7,45.3,19.6,76.4,45.8,13.8,22.9
David Cooke,6,1.5,1.7,0.2,18.2,-,50.0,18.2,6.7,0.0
Duane Cooper,88,2.3,0.7,2.0,40.2,21.6,72.0,42.2,7.7,-0.5
Dave Corzine,891,8.5,5.9,1.7,48.4,18.9,74.7,48.5,13.6,37.3
